Exclusion_Reason,Scheme_Code,Scheme_Name,AMC,Scheme_Type,Scheme_Category,Scheme_NAV_Name,Scheme_Min_Amt,NAV,Latest_NAV_Date,Average_AUM_Cr,AAUM_Quarter,ISIN_Div_Payout/Growth,ISIN_Div_Reinvestment,ISIN_Div_Payout/Growth/Div_Reinvestment,Launch_Date,Closure_Date,Drop_Date,NAV_After_Drop,Drop_Pct
Corporate action (>=50% NAV drop),120304,UTI - Liquid Fund,UTI Asset Mgmt. Co. Ltd.,Open Ended,Debt Scheme - Liquid Fund,UTI-  Liquid Cash Plan - Direct Plan - Growth Option,Rs 10000 & in  multiple of Rs 1 in dividend option,460.1333,2026-07-01,26534.131800000003,April - June 2026,INF789F1AD46,-,INF789F1AD46,2003-06-23,,2026-06-21,459.0706,-90.0
No NAV history available,119726,SBI FOCUSED EQUITY FUND - GROWTH,,,Equity Scheme - Focused Fund,SBI MSFU CONTRA-DIRECT PLAN -GROWTH -Deleted,,,,,,,,,,,,,
No NAV history available,119729,SBI FOCUSED EQUITY FUND - GROWTH,,,Equity Scheme - Focused Fund,SBI MSFU CONTRA-DIRECT  PLAN -GROWTH -Deleted,,,,,,,,,,,,,
No NAV history available,120287,ICICI Prudential Large & Mid Cap Fund,,,Equity Scheme - Large & Mid Cap Fund,ICICI Prudential Blended Plan A - Direct Plan -  Growth,,,,,,,,,,,,,
No NAV history available,120633,ICICI Prudential Interval Fund - Half Yearly Interval Plan - II,,,Income,ICICI Prudential Interval Fund Half Yearly Interval Plan II - Direct Plan -  Growth,,,,,,,,,,,,,
No NAV history available,122670,Reliance Interval Fund I - Half yearly Interval Fund - Series 1,,,Income,Reliance Interval Fund I - Half yearly Interval Fund - Series 1 - Direct Plan - Growth Option,,,,,,,,,,,,,
No NAV history available,148110,UTI - Regular Saving Fund (Segregated - 17022020),,,Hybrid Scheme - Conservative Hybrid Fund,UTI - Medium Term Fund (Segregated 17022020) - Direct Plan Growth Option,,,,,,,,,,,,,
No NAV history available,149202,Tata Retirement Savings Fund Progressive Plan,,,Solution Oriented Scheme - Retirement Fund,Tata Retirement Savings Fund-Progressive Plan-Direct-Growth,,,,,,,,,,,,,
No NAV history available,150766,Kotak Nifty SDL Plus AAA PSU Bond Jul 2033 60 40 Index Fund,,,Other Scheme - Index Funds,Kotak Nifty SDL Plus AAA PSU Bond Jul 2033 60 40 Index Fund Direct Plan - Growth,,,,,,,,,,,,,
No NAV history available,154409,Tata Multi Sector Passive FOF,,,Other Scheme - FoF Domestic,Tata Multi Sector Passive FOF Direct Plan Growth Option,,,,,,,,,,,,,
No NAV history available,154413,Choice Overnight Fund,,,Debt Scheme - Overnight Fund,Choice Overnight Fund - Growth Option - Direct Plan,,,,,,,,,,,,,
No NAV history available,154417,ICICI Prudential Balanced Hybrid Fund,,,Hybrid Scheme - Balanced Hybrid Fund,ICICI Prudential Balanced Hybrid Fund - Direct Plan - Growth,,,,,,,,,,,,,
No NAV history available,154436,Zerodha Life Cycle Fund 2036,,,Hybrid Scheme - Multi Asset Allocation,Zerodha Life Cycle Fund 2036 - Direct - Growth,,,,,,,,,,,,,
No NAV history available,154437,Zerodha Life Cycle Fund 2041,,,Hybrid Scheme - Multi Asset Allocation,Zerodha Life Cycle Fund 2041 - Direct - Growth,,,,,,,,,,,,,
No NAV history available,154438,ALPHAGREP MULTI ASSET ALLOCATION FUND,,,Hybrid Scheme - Multi Asset Allocation,ALPHAGREP MULTI ASSET ALLOCATION FUND-DIRECT-GROWTH,,,,,,,,,,,,,
No NAV history available,154449,ICICI Prudential Multi-Asset Active FOF,,,Other Scheme - FoF Domestic,ICICI Prudential Multi-Asset Active FOF - Direct Plan - Growth,,,,,,,,,,,,,
No NAV history available,154451,NJ Momentum Fund,,,Equity Scheme - Sectoral/ Thematic,NJ Momentum Fund - Direct Growth,,,,,,,,,,,,,
No NAV history available,154456,NJ Value Fund,,,Equity Scheme - Value Fund,NJ Value Fund - Direct Growth,,,,,,,,,,,,,
No NAV history available,154467,SBI Crisil - IBX SDL Index - June 2034 Index Fund,,,Other Scheme - Index Funds,SBI Crisil - IBX SDL Index - June 2034 Index Fund - Direct Plan - Growth,,,,,,,,,,,,,
